Territory,Gender,Age,Scholarity,Year,N_of_people
Italia,female,>15,"elementary school certificate, no educational qualifications",2020,5168.744
Italia,female,>15,middle school certificate,2011,7596.23
Italia,female,>15,middle school certificate,2012,7567.659
Italia,female,>15,middle school certificate,2013,7594.523
Italia,female,>15,middle school certificate,2014,7717.639
Italia,female,>15,middle school certificate,2015,7793.668
Italia,female,>15,middle school certificate,2016,7881.718
Italia,female,>15,middle school certificate,2017,7873.425
Italia,female,>15,middle school certificate,2018,7924.072
Italia,female,>15,middle school certificate,2019,7921.766
Italia,female,>15,middle school certificate,2020,7879.803
Italia,female,>15,diploma 2-3 years (professional qualification),2011,1434.72
Italia,female,>15,diploma 2-3 years (professional qualification),2012,1515.082
Italia,female,>15,diploma 2-3 years (professional qualification),2013,1491.251
Italia,female,>15,diploma 2-3 years (professional qualification),2014,1447.17
Italia,female,>15,diploma 2-3 years (professional qualification),2015,1386.14
Italia,female,>15,diploma 2-3 years (professional qualification),2016,1436.608
Italia,female,>15,diploma 2-3 years (professional qualification),2017,1383.759
Italia,female,>15,diploma 2-3 years (professional qualification),2018,1368.697
Italia,female,>15,diploma 2-3 years (professional qualification),2019,1390.688
Italia,female,>15,diploma 2-3 years (professional qualification),2020,1360.079
Italia,female,>15,diploma 4-5 years (maturity),2011,7395.608
Italia,female,>15,diploma 4-5 years (maturity),2012,7434.488
Italia,female,>15,diploma 4-5 years (maturity),2013,7576.524
Italia,female,>15,diploma 4-5 years (maturity),2014,7760.554
Italia,female,>15,diploma 4-5 years (maturity),2015,7815.902
Italia,female,>15,diploma 4-5 years (maturity),2016,7803.024
Italia,female,>15,diploma 4-5 years (maturity),2017,7807.734
Italia,female,>15,diploma 4-5 years (maturity),2018,7870.569
Italia,female,>15,diploma 4-5 years (maturity),2019,7981.293
Italia,female,>15,diploma 4-5 years (maturity),2020,8021.97
Italia,female,>15,undergraduate and postgraduate,2011,3106.663
Italia,female,>15,undergraduate and postgraduate,2012,3337.214
Italia,female,>15,undergraduate and postgraduate,2013,3486.633
Italia,female,>15,undergraduate and postgraduate,2014,3634.169
Italia,female,>15,undergraduate and postgraduate,2015,3794.162
Italia,female,>15,undergraduate and postgraduate,2016,3863.92
Italia,female,>15,undergraduate and postgraduate,2017,4145.305
Italia,female,>15,undergraduate and postgraduate,2018,4277.599
Italia,female,>15,undergraduate and postgraduate,2019,4361.724
Italia,female,>15,undergraduate and postgraduate,2020,4463.346
Nord,male,>15,"elementary school certificate, no educational qualifications",2011,1898.125
Nord,male,>15,"elementary school certificate, no educational qualifications",2012,1838.914
Nord,male,>15,"elementary school certificate, no educational qualifications",2013,1756.542
Nord,male,>15,"elementary school certificate, no educational qualifications",2014,1653.389
Nord,male,>15,"elementary school certificate, no educational qualifications",2015,1584.238
Nord,male,>15,"elementary school certificate, no educational qualifications",2016,1491.173
Nord,male,>15,"elementary school certificate, no educational qualifications",2017,1452.053
Nord,male,>15,"elementary school certificate, no educational qualifications",2018,1377.329
Nord,male,>15,"elementary school certificate, no educational qualifications",2019,1266.47
Nord,male,>15,"elementary school certificate, no educational qualifications",2020,1238.563
Nord,male,>15,middle school certificate,2011,3918.384
Nord,male,>15,middle school certificate,2012,3925.445
Nord,male,>15,middle school certificate,2013,3939.774
Nord,male,>15,middle school certificate,2014,3956.129
Nord,male,>15,middle school certificate,2015,4008.45
Nord,male,>15,middle school certificate,2016,4021.875
Nord,male,>15,middle school certificate,2017,3971.505
Nord,male,>15,middle school certificate,2018,3944.738
Nord,male,>15,middle school certificate,2019,4024.732
Nord,male,>15,middle school certificate,2020,4011.394
Nord,male,>15,diploma 2-3 years (professional qualification),2011,938.419
Nord,male,>15,diploma 2-3 years (professional qualification),2012,992.427
Nord,male,>15,diploma 2-3 years (professional qualification),2013,1007.216
Nord,male,>15,diploma 2-3 years (professional qualification),2014,985.039
Nord,male,>15,diploma 2-3 years (professional qualification),2015,971.703
Nord,male,>15,diploma 2-3 years (professional qualification),2016,1040.725
Nord,male,>15,diploma 2-3 years (professional qualification),2017,1051.683
Nord,male,>15,diploma 2-3 years (professional qualification),2018,1047.849
Nord,male,>15,diploma 2-3 years (professional qualification),2019,1043.297
Nord,male,>15,diploma 2-3 years (professional qualification),2020,1047.092
Nord,male,>15,diploma 4-5 years (maturity),2011,3276.082
Nord,male,>15,diploma 4-5 years (maturity),2012,3295.479
Nord,male,>15,diploma 4-5 years (maturity),2013,3344.574
Nord,male,>15,diploma 4-5 years (maturity),2014,3464.739
Nord,male,>15,diploma 4-5 years (maturity),2015,3473.05
Nord,male,>15,diploma 4-5 years (maturity),2016,3480.49
Nord,male,>15,diploma 4-5 years (maturity),2017,3513.159
Nord,male,>15,diploma 4-5 years (maturity),2018,3528.683
Nord,male,>15,diploma 4-5 years (maturity),2019,3562.233
Nord,male,>15,diploma 4-5 years (maturity),2020,3600.069
Nord,male,>15,undergraduate and postgraduate,2011,1237.706
Nord,male,>15,undergraduate and postgraduate,2012,1272.703
Nord,male,>15,undergraduate and postgraduate,2013,1355.897
Nord,male,>15,undergraduate and postgraduate,2014,1406.846
Nord,male,>15,undergraduate and postgraduate,2015,1445.281
Nord,male,>15,undergraduate and postgraduate,2016,1453.888
Nord,male,>15,undergraduate and postgraduate,2017,1513.356
Nord,male,>15,undergraduate and postgraduate,2018,1623.924
Nord,male,>15,undergraduate and postgraduate,2019,1653.024
Nord,male,>15,undergraduate and postgraduate,2020,1685.872
Nord,female,>15,"elementary school certificate, no educational qualifications",2011,3024.162
Nord,female,>15,"elementary school certificate, no educational qualifications",2012,2923.682
Nord,female,>15,"elementary school certificate, no educational qualifications",2013,2865.128
Nord,female,>15,"elementary school certificate, no educational qualifications",2014,2720.473
Nord,female,>15,"elementary school certificate, no educational qualifications",2015,2619.128
Nord,female,>15,"elementary school certificate, no educational qualifications",2016,2513.51
Nord,female,>15,"elementary school certificate, no educational qualifications",2017,2409.296
Nord,female,>15,"elementary school certificate, no educational qualifications",2018,2285.419
Nord,female,>15,"elementary school certificate, no educational qualifications",2019,2146.38
Nord,female,>15,"elementary school certificate, no educational qualifications",2020,2098.263
Nord,female,>15,middle school certificate,2011,3471.961
Nord,female,>15,middle school certificate,2012,3484.703
Nord,female,>15,middle school certificate,2013,3447.199
Nord,female,>15,middle school certificate,2014,3495.93
Nord,female,>15,middle school certificate,2015,3525.85
Nord,female,>15,middle school certificate,2016,3575.99
Nord,female,>15,middle school certificate,2017,3577.203
Nord,female,>15,middle school certificate,2018,3599.019
Nord,female,>15,middle school certificate,2019,3623.419
Nord,female,>15,middle school certificate,2020,3616.523
Nord,female,>15,diploma 2-3 years (professional qualification),2011,984.256
Nord,female,>15,diploma 2-3 years (professional qualification),2012,1031.059
Nord,female,>15,diploma 2-3 years (professional qualification),2013,1030.797
Nord,female,>15,diploma 2-3 years (professional qualification),2014,1001.54
Nord,female,>15,diploma 2-3 years (professional qualification),2015,988.191
Nord,female,>15,diploma 2-3 years (professional qualification),2016,1038.989
Nord,female,>15,diploma 2-3 years (professional qualification),2017,1002.408
Nord,female,>15,diploma 2-3 years (professional qualification),2018,992.046
Nord,female,>15,diploma 2-3 years (professional qualification),2019,1024.563
Nord,female,>15,diploma 2-3 years (professional qualification),2020,1014.264
Nord,female,>15,diploma 4-5 years (maturity),2011,3229.161
Nord,female,>15,diploma 4-5 years (maturity),2012,3224.658
Nord,female,>15,diploma 4-5 years (maturity),2013,3295.118
Nord,female,>15,diploma 4-5 years (maturity),2014,3409.025
Nord,female,>15,diploma 4-5 years (maturity),2015,3403.336
Nord,female,>15,diploma 4-5 years (maturity),2016,3372.437
Nord,female,>15,diploma 4-5 years (maturity),2017,3366.667
Nord,female,>15,diploma 4-5 years (maturity),2018,3394.35
Nord,female,>15,diploma 4-5 years (maturity),2019,3461.18
Nord,female,>15,diploma 4-5 years (maturity),2020,3493.993
Nord,female,>15,undergraduate and postgraduate,2011,1460.942
Nord,female,>15,undergraduate and postgraduate,2012,1557.977
Nord,female,>15,undergraduate and postgraduate,2013,1633.302
Nord,female,>15,undergraduate and postgraduate,2014,1683.864
Nord,female,>15,undergraduate and postgraduate,2015,1785.416
Nord,female,>15,undergraduate and postgraduate,2016,1816.96
Nord,female,>15,undergraduate and postgraduate,2017,1959.858
Nord,female,>15,undergraduate and postgraduate,2018,2046.307
Nord,female,>15,undergraduate and postgraduate,2019,2073.03
Nord,female,>15,undergraduate and postgraduate,2020,2118.933
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2011,1084.305
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2012,1059.955
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2013,1016.197
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2014,956.773
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2015,916.6
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2016,843.165
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2017,824.388
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2018,785.039
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2019,726.649
Nord-ovest,male,>15,"elementary school certificate, no educational qualifications",2020,711.072
Nord-ovest,male,>15,middle school certificate,2011,2302.593
Nord-ovest,male,>15,middle school certificate,2012,2315.654
Nord-ovest,male,>15,middle school certificate,2013,2323.031
Nord-ovest,male,>15,middle school certificate,2014,2340.195
Nord-ovest,male,>15,middle school certificate,2015,2364.96
Nord-ovest,male,>15,middle school certificate,2016,2415.964
Nord-ovest,male,>15,middle school certificate,2017,2379.544
Nord-ovest,male,>15,middle school certificate,2018,2356.702
Nord-ovest,male,>15,middle school certificate,2019,2389.025
Nord-ovest,male,>15,middle school certificate,2020,2372.59
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2011,480.653
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2012,506.465
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2013,517.49
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2014,508.792
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2015,506.704
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2016,537.285
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2017,535.813
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2018,542.337
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2019,536.497
Nord-ovest,male,>15,diploma 2-3 years (professional qualification),2020,549.735
Nord-ovest,male,>15,diploma 4-5 years (maturity),2011,1929.571
Nord-ovest,male,>15,diploma 4-5 years (maturity),2012,1937.324
Nord-ovest,male,>15,diploma 4-5 years (maturity),2013,1951.158
Nord-ovest,male,>15,diploma 4-5 years (maturity),2014,2022.33
Nord-ovest,male,>15,diploma 4-5 years (maturity),2015,2023.89
Nord-ovest,male,>15,diploma 4-5 years (maturity),2016,2015.006
Nord-ovest,male,>15,diploma 4-5 years (maturity),2017,2047.373
Nord-ovest,male,>15,diploma 4-5 years (maturity),2018,2042.635
Nord-ovest,male,>15,diploma 4-5 years (maturity),2019,2075.87
Nord-ovest,male,>15,diploma 4-5 years (maturity),2020,2096.354
Nord-ovest,male,>15,undergraduate and postgraduate,2011,740.466
Nord-ovest,male,>15,undergraduate and postgraduate,2012,755.48
Nord-ovest,male,>15,undergraduate and postgraduate,2013,816.993
Nord-ovest,male,>15,undergraduate and postgraduate,2014,835.551
Nord-ovest,male,>15,undergraduate and postgraduate,2015,861.483
Nord-ovest,male,>15,undergraduate and postgraduate,2016,864.411
Nord-ovest,male,>15,undergraduate and postgraduate,2017,895.958
Nord-ovest,male,>15,undergraduate and postgraduate,2018,963.365
Nord-ovest,male,>15,undergraduate and postgraduate,2019,974.384
Nord-ovest,male,>15,undergraduate and postgraduate,2020,990.678
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2011,1717.981
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2012,1668.631
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2013,1647.634
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2014,1544.884
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2015,1481.903
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2016,1424.965
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2017,1372.115
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2018,1306.251
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2019,1213.912
Nord-ovest,female,>15,"elementary school certificate, no educational qualifications",2020,1191.976
Nord-ovest,female,>15,middle school certificate,2011,2040.529
Nord-ovest,female,>15,middle school certificate,2012,2051.577
Nord-ovest,female,>15,middle school certificate,2013,2029.001
Nord-ovest,female,>15,middle school certificate,2014,2083.577
Nord-ovest,female,>15,middle school certificate,2015,2101.693
Nord-ovest,female,>15,middle school certificate,2016,2136.966
Nord-ovest,female,>15,middle school certificate,2017,2134.701
Nord-ovest,female,>15,middle school certificate,2018,2143.612
Nord-ovest,female,>15,middle school certificate,2019,2176.688
Nord-ovest,female,>15,middle school certificate,2020,2157.134
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2011,584.035
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2012,604.345
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2013,599.111
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2014,567.509
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2015,559.672
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2016,593.712
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2017,566.703
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2018,564.4
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2019,591.444
Nord-ovest,female,>15,diploma 2-3 years (professional qualification),2020,595.549
Nord-ovest,female,>15,diploma 4-5 years (maturity),2011,1881.168
Nord-ovest,female,>15,diploma 4-5 years (maturity),2012,1876.887
Nord-ovest,female,>15,diploma 4-5 years (maturity),2013,1916.558
Nord-ovest,female,>15,diploma 4-5 years (maturity),2014,1988.101
Nord-ovest,female,>15,diploma 4-5 years (maturity),2015,1990.845
Nord-ovest,female,>15,diploma 4-5 years (maturity),2016,1957.479
Nord-ovest,female,>15,diploma 4-5 years (maturity),2017,1947.303
Nord-ovest,female,>15,diploma 4-5 years (maturity),2018,1955.604
Nord-ovest,female,>15,diploma 4-5 years (maturity),2019,1995.637
Nord-ovest,female,>15,diploma 4-5 years (maturity),2020,2005.509
Nord-ovest,female,>15,undergraduate and postgraduate,2011,856.048
Nord-ovest,female,>15,undergraduate and postgraduate,2012,909.374
Nord-ovest,female,>15,undergraduate and postgraduate,2013,948.765
Nord-ovest,female,>15,undergraduate and postgraduate,2014,979.428
Nord-ovest,female,>15,undergraduate and postgraduate,2015,1034.177
Nord-ovest,female,>15,undergraduate and postgraduate,2016,1050.855
Nord-ovest,female,>15,undergraduate and postgraduate,2017,1140.26
Nord-ovest,female,>15,undergraduate and postgraduate,2018,1189.213
Nord-ovest,female,>15,undergraduate and postgraduate,2019,1185.575
Nord-ovest,female,>15,undergraduate and postgraduate,2020,1220.449
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2011,320.484
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2012,312.488
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2013,295.273
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2014,280.65
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2015,266.599
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2016,255.61
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2017,242.673
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2018,226.2
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2019,211.578
Piemonte,male,>15,"elementary school certificate, no educational qualifications",2020,211.097
Piemonte,male,>15,middle school certificate,2011,650.292
Piemonte,male,>15,middle school certificate,2012,661.965
Piemonte,male,>15,middle school certificate,2013,658.802
Piemonte,male,>15,middle school certificate,2014,650.338
Piemonte,male,>15,middle school certificate,2015,664.716
Piemonte,male,>15,middle school certificate,2016,670.781
Piemonte,male,>15,middle school certificate,2017,674.676
Piemonte,male,>15,middle school certificate,2018,656.363
Piemonte,male,>15,middle school certificate,2019,651.879
Piemonte,male,>15,middle school certificate,2020,648.784
Piemonte,male,>15,diploma 2-3 years (professional qualification),2011,144.354
Piemonte,male,>15,diploma 2-3 years (professional qualification),2012,141.36
Piemonte,male,>15,diploma 2-3 years (professional qualification),2013,151.387
Piemonte,male,>15,diploma 2-3 years (professional qualification),2014,152.374
Piemonte,male,>15,diploma 2-3 years (professional qualification),2015,149.606
Piemonte,male,>15,diploma 2-3 years (professional qualification),2016,144.927
Piemonte,male,>15,diploma 2-3 years (professional qualification),2017,140.29
Piemonte,male,>15,diploma 2-3 years (professional qualification),2018,147.788
Piemonte,male,>15,diploma 2-3 years (professional qualification),2019,154.293
Piemonte,male,>15,diploma 2-3 years (professional qualification),2020,163.529
Piemonte,male,>15,diploma 4-5 years (maturity),2011,526.879
Piemonte,male,>15,diploma 4-5 years (maturity),2012,524.602
Piemonte,male,>15,diploma 4-5 years (maturity),2013,526.095
Piemonte,male,>15,diploma 4-5 years (maturity),2014,539.793
Piemonte,male,>15,diploma 4-5 years (maturity),2015,542.506
Piemonte,male,>15,diploma 4-5 years (maturity),2016,543.305
Piemonte,male,>15,diploma 4-5 years (maturity),2017,543.945
Piemonte,male,>15,diploma 4-5 years (maturity),2018,550.949
Piemonte,male,>15,diploma 4-5 years (maturity),2019,548.997
Piemonte,male,>15,diploma 4-5 years (maturity),2020,539.568
Piemonte,male,>15,undergraduate and postgraduate,2011,182.49
Piemonte,male,>15,undergraduate and postgraduate,2012,187.27
Piemonte,male,>15,undergraduate and postgraduate,2013,202.206
Piemonte,male,>15,undergraduate and postgraduate,2014,213.275
Piemonte,male,>15,undergraduate and postgraduate,2015,209.294
Piemonte,male,>15,undergraduate and postgraduate,2016,213.711
Piemonte,male,>15,undergraduate and postgraduate,2017,223.553
Piemonte,male,>15,undergraduate and postgraduate,2018,238.289
Piemonte,male,>15,undergraduate and postgraduate,2019,249.088
Piemonte,male,>15,undergraduate and postgraduate,2020,251.388
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2011,504.8
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2012,491.913
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2013,483.535
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2014,450.019
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2015,429.804
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2016,410.447
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2017,394.048
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2018,378.804
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2019,357.712
Piemonte,female,>15,"elementary school certificate, no educational qualifications",2020,355.314
Piemonte,female,>15,middle school certificate,2011,583.218
Piemonte,female,>15,middle school certificate,2012,592.043
Piemonte,female,>15,middle school certificate,2013,581.681
Piemonte,female,>15,middle school certificate,2014,591.084
Piemonte,female,>15,middle school certificate,2015,599.819
Piemonte,female,>15,middle school certificate,2016,608.879
Piemonte,female,>15,middle school certificate,2017,609.382
Piemonte,female,>15,middle school certificate,2018,607.496
Piemonte,female,>15,middle school certificate,2019,602.782
Piemonte,female,>15,middle school certificate,2020,604.613
Piemonte,female,>15,diploma 2-3 years (professional qualification),2011,145.251
Piemonte,female,>15,diploma 2-3 years (professional qualification),2012,152.037
Piemonte,female,>15,diploma 2-3 years (professional qualification),2013,152.049
Piemonte,female,>15,diploma 2-3 years (professional qualification),2014,147.038
Piemonte,female,>15,diploma 2-3 years (professional qualification),2015,140.798
Piemonte,female,>15,diploma 2-3 years (professional qualification),2016,143.761
Piemonte,female,>15,diploma 2-3 years (professional qualification),2017,135.686
Piemonte,female,>15,diploma 2-3 years (professional qualification),2018,145.239
Piemonte,female,>15,diploma 2-3 years (professional qualification),2019,155.893
Piemonte,female,>15,diploma 2-3 years (professional qualification),2020,139.919
Piemonte,female,>15,diploma 4-5 years (maturity),2011,534.943
Piemonte,female,>15,diploma 4-5 years (maturity),2012,513.336
Piemonte,female,>15,diploma 4-5 years (maturity),2013,524.222
Piemonte,female,>15,diploma 4-5 years (maturity),2014,553.297
Piemonte,female,>15,diploma 4-5 years (maturity),2015,558.042
Piemonte,female,>15,diploma 4-5 years (maturity),2016,553.387
Piemonte,female,>15,diploma 4-5 years (maturity),2017,546.479
Piemonte,female,>15,diploma 4-5 years (maturity),2018,530.171
Piemonte,female,>15,diploma 4-5 years (maturity),2019,547.044
Piemonte,female,>15,diploma 4-5 years (maturity),2020,551.524
Piemonte,female,>15,undergraduate and postgraduate,2011,213.767
Piemonte,female,>15,undergraduate and postgraduate,2012,235.662
Piemonte,female,>15,undergraduate and postgraduate,2013,246.727
Piemonte,female,>15,undergraduate and postgraduate,2014,246.742
Piemonte,female,>15,undergraduate and postgraduate,2015,255.209
Piemonte,female,>15,undergraduate and postgraduate,2016,260.501
Piemonte,female,>15,undergraduate and postgraduate,2017,284.384
Piemonte,female,>15,undergraduate and postgraduate,2018,300.911
Piemonte,female,>15,undergraduate and postgraduate,2019,293.036
Piemonte,female,>15,undergraduate and postgraduate,2020,298.981
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2011,9.664
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2012,9.5
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2013,9.153
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2014,8.699
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2015,8.156
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2016,7.428
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2017,7.079
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2018,6.494
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2019,6.186
Valle d'Aosta / Vallée d'Aoste,male,>15,"elementary school certificate, no educational qualifications",2020,6.06
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2011,20.131
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2012,20.124
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2013,20.535
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2014,21.08
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2015,21.021
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2016,21.133
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2017,20.612
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2018,20.345
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2019,20.486
Valle d'Aosta / Vallée d'Aoste,male,>15,middle school certificate,2020,20.262
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2011,3.429
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2012,3.545
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2013,3.291
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2014,3.399
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2015,3.121
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2016,3.658
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2017,3.687
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2018,3.693
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2019,3.424
Valle d'Aosta / Vallée d'Aoste,male,>15,diploma 2-3 years (professional qualification),2020,3.586
