Territory,Gender,Age,Scholarity,Year,Rate_unemployed
Liguria,all_gender,Y15-64,all_levels_education,2018,9.970669
Liguria,all_gender,Y15-64,all_levels_education,2019,9.788009
Liguria,all_gender,Y15-64,all_levels_education,2020,8.590866
Liguria,all_gender,Y15-64,all_levels_education,2021,8.536494
Lombardia,all_gender,Y15-64,all_levels_education,2018,6.119677
Lombardia,all_gender,Y15-64,all_levels_education,2019,5.681621
Lombardia,all_gender,Y15-64,all_levels_education,2020,5.269479
Lombardia,all_gender,Y15-64,all_levels_education,2021,5.963816
Nord-est,all_gender,Y15-64,all_levels_education,2011,5.127632
Nord-est,all_gender,Y15-64,all_levels_education,2012,6.781947
Nord-est,all_gender,Y15-64,all_levels_education,2013,7.977735
Nord-est,all_gender,Y15-64,all_levels_education,2014,7.919558
Nord-est,all_gender,Y15-64,all_levels_education,2015,7.42532
Nord-est,all_gender,Y15-64,all_levels_education,2016,6.883473
Nord-est,all_gender,Y15-64,all_levels_education,2017,6.36422
Nord-est,all_gender,Y15-64,all_levels_education,2018,6.087847
Nord-est,all_gender,Y15-64,all_levels_education,2019,5.568737
Nord-est,all_gender,Y15-64,all_levels_education,2020,5.864141
Nord-est,all_gender,Y15-64,all_levels_education,2021,5.38705
Trentino Alto Adige / Südtirol,all_gender,Y15-64,all_levels_education,2018,3.869485
Trentino Alto Adige / Südtirol,all_gender,Y15-64,all_levels_education,2019,3.98016
Trentino Alto Adige / Südtirol,all_gender,Y15-64,all_levels_education,2020,4.61686
Trentino Alto Adige / Südtirol,all_gender,Y15-64,all_levels_education,2021,4.340155
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,all_levels_education,2018,2.931092
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,all_levels_education,2019,2.923022
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,all_levels_education,2020,3.756204
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,all_levels_education,2021,3.869641
Provincia Autonoma Trento,all_gender,Y15-64,all_levels_education,2018,4.84736
Provincia Autonoma Trento,all_gender,Y15-64,all_levels_education,2019,5.088166
Provincia Autonoma Trento,all_gender,Y15-64,all_levels_education,2020,5.525146
Provincia Autonoma Trento,all_gender,Y15-64,all_levels_education,2021,4.826729
Veneto,all_gender,Y15-64,all_levels_education,2018,6.562705
Veneto,all_gender,Y15-64,all_levels_education,2019,5.725511
Veneto,all_gender,Y15-64,all_levels_education,2020,6.028586
Veneto,all_gender,Y15-64,all_levels_education,2021,5.360404
Friuli-Venezia Giulia,all_gender,Y15-64,all_levels_education,2018,6.79289
Friuli-Venezia Giulia,all_gender,Y15-64,all_levels_education,2019,6.189584
Friuli-Venezia Giulia,all_gender,Y15-64,all_levels_education,2020,5.76109
Friuli-Venezia Giulia,all_gender,Y15-64,all_levels_education,2021,5.803563
Emilia-Romagna,all_gender,Y15-64,all_levels_education,2018,5.938451
Emilia-Romagna,all_gender,Y15-64,all_levels_education,2019,5.631747
Emilia-Romagna,all_gender,Y15-64,all_levels_education,2020,6.022444
Emilia-Romagna,all_gender,Y15-64,all_levels_education,2021,5.56329
Centro,all_gender,Y15-64,all_levels_education,2011,7.802868
Centro,all_gender,Y15-64,all_levels_education,2012,9.790475
Centro,all_gender,Y15-64,all_levels_education,2013,11.068319
Centro,all_gender,Y15-64,all_levels_education,2014,11.716045
Centro,all_gender,Y15-64,all_levels_education,2015,10.926521
Centro,all_gender,Y15-64,all_levels_education,2016,10.667869
Centro,all_gender,Y15-64,all_levels_education,2017,10.199528
Centro,all_gender,Y15-64,all_levels_education,2018,9.585627
Centro,all_gender,Y15-64,all_levels_education,2019,8.80051
Centro,all_gender,Y15-64,all_levels_education,2020,8.401002
Centro,all_gender,Y15-64,all_levels_education,2021,8.799464
Toscana,all_gender,Y15-64,all_levels_education,2018,7.468199
Toscana,all_gender,Y15-64,all_levels_education,2019,6.860579
Toscana,all_gender,Y15-64,all_levels_education,2020,6.949747
Toscana,all_gender,Y15-64,all_levels_education,2021,7.738147
Sardegna,all_gender,Y15-64,all_levels_education,2018,15.734642
Sardegna,all_gender,Y15-64,all_levels_education,2019,15.247278
Sardegna,all_gender,Y15-64,all_levels_education,2020,13.465583
Sardegna,all_gender,Y15-64,all_levels_education,2021,13.782414
Marche,all_gender,Y15-74,upper and post secondary,2018,8.300747
Marche,all_gender,Y15-74,upper and post secondary,2019,8.89142
Marche,all_gender,Y15-74,upper and post secondary,2020,7.472957
Marche,all_gender,Y15-74,upper and post secondary,2021,7.608352
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,all_levels_education,2018,7.074693
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,all_levels_education,2019,6.485476
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,all_levels_education,2020,5.852896
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,all_levels_education,2021,7.259829
Lazio,all_gender,Y15-64,all_levels_education,2018,11.304894
Lazio,all_gender,Y15-64,all_levels_education,2019,10.084605
Lazio,all_gender,Y15-64,all_levels_education,2020,9.534031
Lazio,all_gender,Y15-64,all_levels_education,2021,10.20351
Friuli-Venezia Giulia,all_gender,Y15-74,all_levels_education,2018,6.671789
Friuli-Venezia Giulia,all_gender,Y15-74,all_levels_education,2019,6.081104
Friuli-Venezia Giulia,all_gender,Y15-74,all_levels_education,2020,5.66186
Friuli-Venezia Giulia,all_gender,Y15-74,all_levels_education,2021,5.712142
Centro,all_gender,Y15-74,upper and post secondary,2018,10.034188
Centro,all_gender,Y15-74,upper and post secondary,2019,9.254607
Centro,all_gender,Y15-74,upper and post secondary,2020,8.375954
Centro,all_gender,Y15-74,upper and post secondary,2021,9.104588
Basilicata,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,10.457844
Basilicata,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,10.900451
Basilicata,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,8.072056
Basilicata,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,6.398869
Sicilia,all_gender,Y15-74,upper and post secondary,2018,19.780737
Sicilia,all_gender,Y15-74,upper and post secondary,2019,18.305778
Sicilia,all_gender,Y15-74,upper and post secondary,2020,17.407541
Sicilia,all_gender,Y15-74,upper and post secondary,2021,17.635634
Nord-ovest,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,3.800486
Nord-ovest,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,3.45922
Nord-ovest,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.506607
Nord-ovest,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.622445
Campania,all_gender,Y15-74,upper and post secondary,2018,18.939349
Campania,all_gender,Y15-74,upper and post secondary,2019,17.93507
Campania,all_gender,Y15-74,upper and post secondary,2020,16.524611
Campania,all_gender,Y15-74,upper and post secondary,2021,17.968907
Provincia Autonoma Trento,all_gender,Y15-74,upper and post secondary,2018,4.905323
Provincia Autonoma Trento,all_gender,Y15-74,upper and post secondary,2019,4.944134
Provincia Autonoma Trento,all_gender,Y15-74,upper and post secondary,2020,5.485759
Provincia Autonoma Trento,all_gender,Y15-74,upper and post secondary,2021,4.99161
Molise,all_gender,Y15-64,all_levels_education,2018,12.962589
Molise,all_gender,Y15-64,all_levels_education,2019,12.397053
Molise,all_gender,Y15-64,all_levels_education,2020,10.27796
Molise,all_gender,Y15-64,all_levels_education,2021,11.189439
Provincia Autonoma Trento,all_gender,Y15-74,all_levels_education,2018,4.784712
Provincia Autonoma Trento,all_gender,Y15-74,all_levels_education,2019,5.023265
Provincia Autonoma Trento,all_gender,Y15-74,all_levels_education,2020,5.446849
Provincia Autonoma Trento,all_gender,Y15-74,all_levels_education,2021,4.80729
Piemonte,all_gender,Y15-74,all_levels_education,2018,8.223384
Piemonte,all_gender,Y15-74,all_levels_education,2019,7.631928
Piemonte,all_gender,Y15-74,all_levels_education,2020,7.636
Piemonte,all_gender,Y15-74,all_levels_education,2021,7.338475
Sicilia,all_gender,Y15-74,all_levels_education,2018,21.282888
Sicilia,all_gender,Y15-74,all_levels_education,2019,19.969011
Sicilia,all_gender,Y15-74,all_levels_education,2020,18.25585
Sicilia,all_gender,Y15-74,all_levels_education,2021,18.730475
Piemonte,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,4.153528
Piemonte,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,4.250076
Piemonte,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,4.278085
Piemonte,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.761474
Abruzzo,all_gender,Y15-74,upper and post secondary,2018,10.801735
Abruzzo,all_gender,Y15-74,upper and post secondary,2019,11.933079
Abruzzo,all_gender,Y15-74,upper and post secondary,2020,8.945197
Abruzzo,all_gender,Y15-74,upper and post secondary,2021,9.904993
Nord-est,all_gender,Y15-74,all_levels_education,2011,5.065372
Nord-est,all_gender,Y15-74,all_levels_education,2012,6.698005
Nord-est,all_gender,Y15-74,all_levels_education,2013,7.866167
Nord-est,all_gender,Y15-74,all_levels_education,2014,7.796819
Nord-est,all_gender,Y15-74,all_levels_education,2015,7.321669
Nord-est,all_gender,Y15-74,all_levels_education,2016,6.785217
Nord-est,all_gender,Y15-74,all_levels_education,2017,6.257402
Nord-est,all_gender,Y15-74,all_levels_education,2018,5.983419
Nord-est,all_gender,Y15-74,all_levels_education,2019,5.479173
Nord-est,all_gender,Y15-74,all_levels_education,2020,5.756915
Nord-est,all_gender,Y15-74,all_levels_education,2021,5.309238
Lazio,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,5.671716
Lazio,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,6.155248
Lazio,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,5.231033
Lazio,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,4.949853
Basilicata,all_gender,Y15-64,all_levels_education,2018,12.717975
Basilicata,all_gender,Y15-64,all_levels_education,2019,11.056702
Basilicata,all_gender,Y15-64,all_levels_education,2020,9.048914
Basilicata,all_gender,Y15-64,all_levels_education,2021,8.440469
Toscana,all_gender,Y15-74,upper and post secondary,2018,6.933604
Toscana,all_gender,Y15-74,upper and post secondary,2019,7.232702
Toscana,all_gender,Y15-74,upper and post secondary,2020,6.79651
Toscana,all_gender,Y15-74,upper and post secondary,2021,7.363484
Trentino Alto Adige / Südtirol,all_gender,Y15-74,upper and post secondary,2018,3.806486
Trentino Alto Adige / Südtirol,all_gender,Y15-74,upper and post secondary,2019,3.680145
Trentino Alto Adige / Südtirol,all_gender,Y15-74,upper and post secondary,2020,4.472426
Trentino Alto Adige / Südtirol,all_gender,Y15-74,upper and post secondary,2021,4.247134
Emilia-Romagna,all_gender,Y15-74,all_levels_education,2018,5.82935
Emilia-Romagna,all_gender,Y15-74,all_levels_education,2019,5.5513
Emilia-Romagna,all_gender,Y15-74,all_levels_education,2020,5.898232
Emilia-Romagna,all_gender,Y15-74,all_levels_education,2021,5.471633
Puglia,all_gender,Y15-64,all_levels_education,2018,16.264824
Puglia,all_gender,Y15-64,all_levels_education,2019,15.113146
Puglia,all_gender,Y15-64,all_levels_education,2020,14.469388
Puglia,all_gender,Y15-64,all_levels_education,2021,14.788561
Puglia,all_gender,Y15-74,all_levels_education,2018,16.090037
Puglia,all_gender,Y15-74,all_levels_education,2019,14.875517
Puglia,all_gender,Y15-74,all_levels_education,2020,14.249165
Puglia,all_gender,Y15-74,all_levels_education,2021,14.569349
Friuli-Venezia Giulia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,4.171735
Friuli-Venezia Giulia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,4.27549
Friuli-Venezia Giulia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.722006
Friuli-Venezia Giulia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,4.060219
Liguria,all_gender,Y15-74,upper and post secondary,2018,9.314174
Liguria,all_gender,Y15-74,upper and post secondary,2019,8.54979
Liguria,all_gender,Y15-74,upper and post secondary,2020,7.697089
Liguria,all_gender,Y15-74,upper and post secondary,2021,7.869716
Sardegna,all_gender,Y15-74,all_levels_education,2018,15.450284
Sardegna,all_gender,Y15-74,all_levels_education,2019,14.897431
Sardegna,all_gender,Y15-74,all_levels_education,2020,13.20698
Sardegna,all_gender,Y15-74,all_levels_education,2021,13.515017
Sardegna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,10.135713
Sardegna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,10.224896
Sardegna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,6.21898
Sardegna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,6.538602
Puglia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,9.652293
Puglia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,8.151651
Puglia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,7.705668
Puglia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,7.859078
Veneto,all_gender,Y15-74,all_levels_education,2018,6.453982
Veneto,all_gender,Y15-74,all_levels_education,2019,5.623544
Veneto,all_gender,Y15-74,all_levels_education,2020,5.923485
Veneto,all_gender,Y15-74,all_levels_education,2021,5.28657
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,3.556911
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,2.772194
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,2.852643
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.662311
Umbria,all_gender,Y15-74,all_levels_education,2018,9.261724
Umbria,all_gender,Y15-74,all_levels_education,2019,8.481653
Umbria,all_gender,Y15-74,all_levels_education,2020,8.301712
Umbria,all_gender,Y15-74,all_levels_education,2021,6.632695
Lombardia,all_gender,Y15-74,all_levels_education,2018,6.035634
Lombardia,all_gender,Y15-74,all_levels_education,2019,5.624642
Lombardia,all_gender,Y15-74,all_levels_education,2020,5.182763
Lombardia,all_gender,Y15-74,all_levels_education,2021,5.882038
Emilia-Romagna,all_gender,Y15-74,upper and post secondary,2018,5.279555
Emilia-Romagna,all_gender,Y15-74,upper and post secondary,2019,5.181461
Emilia-Romagna,all_gender,Y15-74,upper and post secondary,2020,5.9824
Emilia-Romagna,all_gender,Y15-74,upper and post secondary,2021,5.394574
Lazio,all_gender,Y15-74,all_levels_education,2018,11.109864
Lazio,all_gender,Y15-74,all_levels_education,2019,9.904089
Lazio,all_gender,Y15-74,all_levels_education,2020,9.348204
Lazio,all_gender,Y15-74,all_levels_education,2021,10.024335
Nord-est,all_gender,Y15-74,upper and post secondary,2018,5.688573
Nord-est,all_gender,Y15-74,upper and post secondary,2019,4.964602
Nord-est,all_gender,Y15-74,upper and post secondary,2020,5.738412
Nord-est,all_gender,Y15-74,upper and post secondary,2021,5.170214
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,all_levels_education,2018,2.896442
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,all_levels_education,2019,2.881371
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,all_levels_education,2020,3.717622
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,all_levels_education,2021,3.836589
Nord-est,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,3.565802
Nord-est,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,3.681737
Nord-est,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.797384
Nord-est,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.18992
Puglia,all_gender,Y15-74,upper and post secondary,2018,15.662464
Puglia,all_gender,Y15-74,upper and post secondary,2019,15.190595
Puglia,all_gender,Y15-74,upper and post secondary,2020,13.354956
Puglia,all_gender,Y15-74,upper and post secondary,2021,14.581373
Veneto,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,4.094854
Veneto,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,3.703954
Veneto,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,4.46082
Veneto,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.065423
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,upper and post secondary,2018,6.127089
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,upper and post secondary,2019,6.037622
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,upper and post secondary,2020,4.993634
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,upper and post secondary,2021,6.440879
Italy,all_gender,Y15-74,all_levels_education,2011,8.532414
Italy,all_gender,Y15-74,all_levels_education,2012,10.888036
Italy,all_gender,Y15-74,all_levels_education,2013,12.374133
Italy,all_gender,Y15-74,all_levels_education,2014,12.850389
Italy,all_gender,Y15-74,all_levels_education,2015,12.005183
Italy,all_gender,Y15-74,all_levels_education,2016,11.747946
Italy,all_gender,Y15-74,all_levels_education,2017,11.25108
Italy,all_gender,Y15-74,all_levels_education,2018,10.584862
Italy,all_gender,Y15-74,all_levels_education,2019,9.934087
Italy,all_gender,Y15-74,all_levels_education,2020,9.348279
Italy,all_gender,Y15-74,all_levels_education,2021,9.532253
Molise,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,8.745512
Molise,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,6.492173
Molise,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,8.291026
Molise,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,6.625984
Calabria,all_gender,Y15-64,all_levels_education,2018,21.909066
Calabria,all_gender,Y15-64,all_levels_education,2019,21.449507
Calabria,all_gender,Y15-64,all_levels_education,2020,20.445912
Calabria,all_gender,Y15-64,all_levels_education,2021,18.40225
Calabria,all_gender,Y15-74,all_levels_education,2018,21.566477
Calabria,all_gender,Y15-74,all_levels_education,2019,20.9696
Calabria,all_gender,Y15-74,all_levels_education,2020,20.02119
Calabria,all_gender,Y15-74,all_levels_education,2021,17.965485
Piemonte,all_gender,Y15-74,upper and post secondary,2018,7.867427
Piemonte,all_gender,Y15-74,upper and post secondary,2019,6.828284
Piemonte,all_gender,Y15-74,upper and post secondary,2020,7.296577
Piemonte,all_gender,Y15-74,upper and post secondary,2021,6.928893
Centro,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,5.284642
Centro,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,5.422864
Centro,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,5.133935
Centro,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,4.822111
Umbria,all_gender,Y15-74,upper and post secondary,2018,9.150659
Umbria,all_gender,Y15-74,upper and post secondary,2019,7.320547
Umbria,all_gender,Y15-74,upper and post secondary,2020,7.413441
Umbria,all_gender,Y15-74,upper and post secondary,2021,6.855558
Veneto,all_gender,Y15-74,upper and post secondary,2018,6.224134
Veneto,all_gender,Y15-74,upper and post secondary,2019,4.862104
Veneto,all_gender,Y15-74,upper and post secondary,2020,5.899801
Veneto,all_gender,Y15-74,upper and post secondary,2021,5.055076
Campania,all_gender,Y15-64,all_levels_education,2018,20.811458
Campania,all_gender,Y15-64,all_levels_education,2019,20.49097
Campania,all_gender,Y15-64,all_levels_education,2020,18.758119
Campania,all_gender,Y15-64,all_levels_education,2021,19.666569
Campania,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,10.053135
Campania,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,10.900781
Campania,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,10.134663
Campania,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,8.717309
Friuli-Venezia Giulia,all_gender,Y15-74,upper and post secondary,2018,6.800949
Friuli-Venezia Giulia,all_gender,Y15-74,upper and post secondary,2019,5.811086
Friuli-Venezia Giulia,all_gender,Y15-74,upper and post secondary,2020,5.416964
Friuli-Venezia Giulia,all_gender,Y15-74,upper and post secondary,2021,5.687245
Liguria,all_gender,Y15-74,all_levels_education,2018,9.792994
Liguria,all_gender,Y15-74,all_levels_education,2019,9.567805
Liguria,all_gender,Y15-74,all_levels_education,2020,8.461646
Liguria,all_gender,Y15-74,all_levels_education,2021,8.366807
Umbria,all_gender,Y15-64,all_levels_education,2018,9.449208
Umbria,all_gender,Y15-64,all_levels_education,2019,8.629482
Umbria,all_gender,Y15-64,all_levels_education,2020,8.504801
Umbria,all_gender,Y15-64,all_levels_education,2021,6.785093
Basilicata,all_gender,Y15-74,all_levels_education,2018,12.460244
Basilicata,all_gender,Y15-74,all_levels_education,2019,10.835782
Basilicata,all_gender,Y15-74,all_levels_education,2020,8.813941
Basilicata,all_gender,Y15-74,all_levels_education,2021,8.258717
Lombardia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,3.541618
Lombardia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,2.976202
Lombardia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.135771
Lombardia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.459753
Marche,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,5.74688
Marche,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,6.334056
Marche,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,6.417532
Marche,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.991802
Calabria,all_gender,Y15-74,upper and post secondary,2018,20.05848
Calabria,all_gender,Y15-74,upper and post secondary,2019,20.8661
Calabria,all_gender,Y15-74,upper and post secondary,2020,18.991121
Calabria,all_gender,Y15-74,upper and post secondary,2021,18.610924
Liguria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,4.671116
Liguria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,4.791109
Liguria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,4.138457
Liguria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,4.383338
Basilicata,all_gender,Y15-74,upper and post secondary,2018,13.026039
Basilicata,all_gender,Y15-74,upper and post secondary,2019,10.67768
Basilicata,all_gender,Y15-74,upper and post secondary,2020,8.656539
Basilicata,all_gender,Y15-74,upper and post secondary,2021,8.021536
Italy,all_gender,Y15-74,upper and post secondary,2018,10.064872
Italy,all_gender,Y15-74,upper and post secondary,2019,9.389234
Italy,all_gender,Y15-74,upper and post secondary,2020,8.822461
Italy,all_gender,Y15-74,upper and post secondary,2021,9.204573
Calabria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,17.176128
Calabria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,13.163132
Calabria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,12.956939
Calabria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,11.545373
Emilia-Romagna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,3.168494
Emilia-Romagna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,3.818719
Emilia-Romagna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.443575
Emilia-Romagna,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,3.257073
Umbria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,5.194262
Umbria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,6.030334
Umbria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,5.900876
Umbria,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,5.727728
Trentino Alto Adige / Südtirol,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,2.383773
Trentino Alto Adige / Südtirol,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,2.186047
Trentino Alto Adige / Südtirol,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,2.63397
Trentino Alto Adige / Südtirol,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,2.398111
Nord-ovest,all_gender,Y15-74,all_levels_education,2011,6.415358
Nord-ovest,all_gender,Y15-74,all_levels_education,2012,8.150077
Nord-ovest,all_gender,Y15-74,all_levels_education,2013,9.053169
Nord-ovest,all_gender,Y15-74,all_levels_education,2014,9.400826
Nord-ovest,all_gender,Y15-74,all_levels_education,2015,8.725549
Nord-ovest,all_gender,Y15-74,all_levels_education,2016,8.173318
Nord-ovest,all_gender,Y15-74,all_levels_education,2017,7.430493
Nord-ovest,all_gender,Y15-74,all_levels_education,2018,6.969327
Nord-ovest,all_gender,Y15-74,all_levels_education,2019,6.518027
Nord-ovest,all_gender,Y15-74,all_levels_education,2020,6.130091
Nord-ovest,all_gender,Y15-74,all_levels_education,2021,6.499994
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,upper and post secondary,2018,2.680382
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,upper and post secondary,2019,2.412964
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,upper and post secondary,2020,3.484873
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,upper and post secondary,2021,3.511071
